__id,countryName,iso3166Alpha2Code,iso3166Alpha3Code,m49code,wbCountryCode,wbIncomeLevelCode,wbIncomeLevelName,wbLendingTypeCode,wbLendingTypeName,wbRegion,wbRegionCode,responseDate,roundId,extendedBreakCode,educationStatusCode,educationStatusPrePrimaryCode,educationStatusPrimaryCode,educationStatusLowerSecondaryCode,educationStatusUpperSecondaryCode,educationStatusHigherCode,educationStatusVocationalCode,vaccineAvailabilityForTeachersCode,inPersonAdditionalSupportPrePrimary,inPersonAdditionalSupportPrimary,inPersonAdditionalSupportLowerSecondary,inPersonAdditionalSupportUpperSecondary,remoteEducationModalitiesPrePrimaryCode,remoteEducationModalitiesPrimaryCode,remoteEducationModalitiesLowerSecondaryCode,remoteEducationModalitiesUpperSecondaryCode,remoteEducationModalitiesHigherCode,remoteEducationModalitiesVocationalCode,inPersonPrioritizationCategoriesCode,inPersonPrioritizationGradeLevelCode,inPersonPrioritizationStudentNeedCode,inPersonPrioritizationGeographyCode,inPersonLearningCoveragePrePrimaryCode,inPersonLearningCoveragePrimaryCode,inPersonLearningCoverageLowerSecondaryCode,inPersonLearningCoverageUpperSecondaryCode,inPersonLearningCoverageHigherCode,inPersonLearningCoverageVocationalCode
recHA7kd3vYde9ryS,Algeria,DZ,DZA,12,DZA,LMC,Lower middle income,IBD,IBRD,Middle East and North Africa,MENA,2022-01-20,24,2,"4,3,2","4,3,2","4,3,2","4,3,2","4,3,2",5,5,2,7,7,7,7,"1,2","1,2","1,2","1,2",6,6,5,,,,2,2,2,2,5,5
recUViIHlpNHxZIez,Algeria,DZ,DZA,12,DZA,LMC,Lower middle income,IBD,IBRD,Middle East and North Africa,MENA,2022-01-26,25,2,1,1,1,1,1,3,3,7,7,7,7,7,7,7,7,7,4,6,5,,,,6,6,6,6,1,5
reciWUyqxWAXRe4Kx,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-02-03,1,2,4,,,,,,,,,,,,,,,,,,5,,,,5,5,5,5,5,5
recX7npLgwmoSh8f5,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-02-23,2,2,4,,,,,,,2,7,7,7,7,,,,,,,5,,,,1,1,1,1,1,1
recPVH32Amz9K2R4n,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-03-14,3,2,3,,,,,,,2,8,8,8,8,6,1,1,1,6,6,5,,,,5,5,5,5,5,5
recrLef96sVBnORx3,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-03-29,4,2,"3,4",,,,,,,1,8,8,8,8,6,6,6,6,6,6,5,,,,5,5,5,5,5,5
recRWC0pboWXRNvPn,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-04-09,5,2,3,,,,,,,1,8,8,8,8,6,6,6,6,6,6,5,,,,5,5,5,5,5,5
recLza5ovCQDLMdpx,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-04-26,6,2,4,4,4,4,4,4,4,2,,,,,,,,,,,5,,,,1,1,1,1,1,1
reccZ71AtjncvkaUM,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-05-19,7,2,"2,4","2,4","2,4","2,4","2,4","2,4",5,2,,,,,,,,,,,,,,,,,,,,
recDtItJSEletGb17,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-06-12,9,1,4,4,4,4,4,5,5,2,8,8,8,8,,,,,,,5,,,,1,1,1,1,5,5
